File_Name,Text_Data
19980.4.txt,"{'POSITIVE SCORE': 0.11243386243386246, 'NEGATIVE SCORE': 0.3792989417989418, 'POLARITY SCORE': 0.11243386243386246, 'SUBJECTIVITY SCORE': 0.3792989417989418, 'AVG SENTENCE LENGTH': 22.705882352941178, 'PERCENTAGE OF COMPLEX WORDS': 78.52028639618138, 'FOG INDEX': 40.49046749964902, 'AVG NUMBER OF WORDS PER SENTENCE': 24.647058823529413, 'COMPLEX WORD COUNT': 329, 'WORD COUNT': 419, 'SYLLABLES PER WORD': 1.4988066825775657, 'PERSONAL PRONOUNS': 1, 'AVG WORD LENGTH': 4.885441527446301}"
20442.2.txt,"{'POSITIVE SCORE': 0.12922494172494176, 'NEGATIVE SCORE': 0.4962339743589744, 'POLARITY SCORE': 0.12922494172494176, 'SUBJECTIVITY SCORE': 0.4962339743589744, 'AVG SENTENCE LENGTH': 23.3265306122449, 'PERCENTAGE OF COMPLEX WORDS': 74.9211356466877, 'FOG INDEX': 39.299066503573044, 'AVG NUMBER OF WORDS PER SENTENCE': 25.877551020408163, 'COMPLEX WORD COUNT': 950, 'WORD COUNT': 1268, 'SYLLABLES PER WORD': 1.5386435331230284, 'PERSONAL PRONOUNS': 1, 'AVG WORD LENGTH': 4.780757097791798}"
20904.txt,"{'POSITIVE SCORE': 0.08646560846560848, 'NEGATIVE SCORE': 0.33871957671957675, 'POLARITY SCORE': 0.08646560846560848, 'SUBJECTIVITY SCORE': 0.33871957671957675, 'AVG SENTENCE LENGTH': 27.391304347826086, 'PERCENTAGE OF COMPLEX WORDS': 73.1534090909091, 'FOG INDEX': 40.21788537549408, 'AVG NUMBER OF WORDS PER SENTENCE': 30.608695652173914, 'COMPLEX WORD COUNT': 515, 'WORD COUNT': 704, 'SYLLABLES PER WORD': 1.7159090909090908, 'PERSONAL PRONOUNS': 1, 'AVG WORD LENGTH': 5.1875}"
21365.8.txt,"{'POSITIVE SCORE': 0.19551587301587303, 'NEGATIVE SCORE': 0.5138095238095238, 'POLARITY SCORE': 0.19551587301587303, 'SUBJECTIVITY SCORE': 0.5138095238095238, 'AVG SENTENCE LENGTH': 14.321428571428571, 'PERCENTAGE OF COMPLEX WORDS': 73.2739420935412, 'FOG INDEX': 35.03814826598791, 'AVG NUMBER OF WORDS PER SENTENCE': 16.035714285714285, 'COMPLEX WORD COUNT': 329, 'WORD COUNT': 449, 'SYLLABLES PER WORD': 1.487750556792873, 'PERSONAL PRONOUNS': 0, 'AVG WORD LENGTH': 4.757238307349666}"
21827.6.txt,"{'POSITIVE SCORE': 0.035178571428571434, 'NEGATIVE SCORE': 0.25863095238095235, 'POLARITY SCORE': 0.035178571428571434, 'SUBJECTIVITY SCORE': 0.25863095238095235, 'AVG SENTENCE LENGTH': 17.2, 'PERCENTAGE OF COMPLEX WORDS': 68.22916666666666, 'FOG INDEX': 34.17166666666667, 'AVG NUMBER OF WORDS PER SENTENCE': 19.2, 'COMPLEX WORD COUNT': 131, 'WORD COUNT': 192, 'SYLLABLES PER WORD': 1.7447916666666667, 'PERSONAL PRONOUNS': 2, 'AVG WORD LENGTH': 5.057291666666667}"
22289.4.txt,"{'POSITIVE SCORE': 0.05245405179615707, 'NEGATIVE SCORE': 0.4679824561403507, 'POLARITY SCORE': 0.05245405179615707, 'SUBJECTIVITY SCORE': 0.4679824561403507, 'AVG SENTENCE LENGTH': 14.553571428571429, 'PERCENTAGE OF COMPLEX WORDS': 70.7742639040349, 'FOG INDEX': 34.13113413304253, 'AVG NUMBER OF WORDS PER SENTENCE': 16.375, 'COMPLEX WORD COUNT': 649, 'WORD COUNT': 917, 'SYLLABLES PER WORD': 1.4732824427480915, 'PERSONAL PRONOUNS': 31, 'AVG WORD LENGTH': 4.637949836423119}"
22751.2.txt,"{'POSITIVE SCORE': 0.4055555555555555, 'NEGATIVE SCORE': 0.4722222222222222, 'POLARITY SCORE': 0.4055555555555555, 'SUBJECTIVITY SCORE': 0.4722222222222222, 'AVG SENTENCE LENGTH': 21.11111111111111, 'PERCENTAGE OF COMPLEX WORDS': 72.51184834123224, 'FOG INDEX': 37.44918378093734, 'AVG NUMBER OF WORDS PER SENTENCE': 23.444444444444443, 'COMPLEX WORD COUNT': 153, 'WORD COUNT': 211, 'SYLLABLES PER WORD': 1.5071090047393365, 'PERSONAL PRONOUNS': 1, 'AVG WORD LENGTH': 4.540284360189573}"
23213.txt,"{'POSITIVE SCORE': 0.06010136577037986, 'NEGATIVE SCORE': 0.3752112676056338, 'POLARITY SCORE': 0.06010136577037986, 'SUBJECTIVITY SCORE': 0.3752112676056338, 'AVG SENTENCE LENGTH': 19.366666666666667, 'PERCENTAGE OF COMPLEX WORDS': 73.96946564885496, 'FOG INDEX': 37.334452926208655, 'AVG NUMBER OF WORDS PER SENTENCE': 21.833333333333332, 'COMPLEX WORD COUNT': 969, 'WORD COUNT': 1310, 'SYLLABLES PER WORD': 1.7557251908396947, 'PERSONAL PRONOUNS': 0, 'AVG WORD LENGTH': 5.355725190839695}"
2345.txt,"{'POSITIVE SCORE': 0.0622405828002843, 'NEGATIVE SCORE': 0.44759417199715695, 'POLARITY SCORE': 0.0622405828002843, 'SUBJECTIVITY SCORE': 0.44759417199715695, 'AVG SENTENCE LENGTH': 17.140625, 'PERCENTAGE OF COMPLEX WORDS': 74.36318816762531, 'FOG INDEX': 36.60152526705013, 'AVG NUMBER OF WORDS PER SENTENCE': 19.015625, 'COMPLEX WORD COUNT': 905, 'WORD COUNT': 1217, 'SYLLABLES PER WORD': 1.6146261298274445, 'PERSONAL PRONOUNS': 5, 'AVG WORD LENGTH': 4.990961380443714}"
23674.8.txt,"{'POSITIVE SCORE': 0.02871621621621622, 'NEGATIVE SCORE': 0.32694658944658944, 'POLARITY SCORE': 0.02871621621621622, 'SUBJECTIVITY SCORE': 0.32694658944658944, 'AVG SENTENCE LENGTH': 25.761904761904763, 'PERCENTAGE OF COMPLEX WORDS': 75.24916943521595, 'FOG INDEX': 40.40442967884829, 'AVG NUMBER OF WORDS PER SENTENCE': 28.666666666666668, 'COMPLEX WORD COUNT': 453, 'WORD COUNT': 602, 'SYLLABLES PER WORD': 1.5664451827242525, 'PERSONAL PRONOUNS': 10, 'AVG WORD LENGTH': 4.769102990033223}"
